,query,lab1,lab2,lab3,lab4,lab5,word_count,has_num,char_count,char_per_word,noun_count,verb_count,prep_count,meaning_count,categories,super_categories,sup1,sup2,sup3,sup4,sup_cat_bool,bools,label1,label2,label3,label4,label5,label6,label7
0,1939,Information\Arts & Humanities,Information\Law & Politics,Entertainment\Movies,,,1,True,4,4.0,0,0,0,3,"['Information\\Arts & Humanities', 'Information\\Law & Politics', 'Entertainment\\Movies']","['Entertainment', 'Information']",Information,['Entertainment',,,"[False, True, True, False, False, False, False]","['FALSE', 'TRUE', 'TRUE', 'FALSE', 'FALSE', 'FALSE', 'FALSE']",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1,0 apr,Living\Finance & Investment,Information\Companies & Industries,Shopping\Bargains & Discounts,Shopping\Other,Living\Car & Garage,2,True,5,2.5,1,0,0,5,"['Living\\Finance & Investment', 'Information\\Companies & Industries', 'Shopping\\Bargains & Discounts', 'Shopping\\Other', 'Living\\Car & Garage']","['Information', 'Living', 'Shopping']",Shopping, 'Living',['Information',,"[False, False, True, True, False, True, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'TRUE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
2,1099 form,Living\Finance & Investment,Information\Law & Politics,Information\References & Libraries,,,2,True,9,4.5,1,0,0,3,"['Living\\Finance & Investment', 'Information\\Law & Politics', 'Information\\References & Libraries']","['Information', 'Living']",Living,['Information',,,"[False, False, True, True, False, False, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'FALSE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
3,1967 impala,Living\Car & Garage,Shopping\Bargains & Discounts,Living\Gifts & Collectables,Sports\Auto Racing,Shopping\Buying Guides & Researching,2,True,11,5.5,1,0,0,5,"['Living\\Car & Garage', 'Shopping\\Bargains & Discounts', 'Living\\Gifts & Collectables', 'Sports\\Auto Racing', 'Shopping\\Buying Guides & Researching']","['Living', 'Shopping', 'Sports']",Sports, 'Shopping',['Living',,"[False, False, False, True, False, True, True]","['FALSE', 'FALSE', 'FALSE', 'TRUE', 'FALSE', 'TRUE', 'TRUE']",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
4,a worn path critique,Information\Arts & Humanities,Information\Education,Entertainment\Other,Living\Family & Kids,,4,False,20,5.0,2,0,0,4,"['Information\\Arts & Humanities', 'Information\\Education', 'Entertainment\\Other', 'Living\\Family & Kids']","['Entertainment', 'Information', 'Living']",Living, 'Information',['Entertainment',,"[False, True, True, True, False, False, False]","['FALSE', 'TRUE', 'TRUE', 'TRUE', 'FALSE', 'FALSE', 'FALSE']",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
5,aatfcu,Living\Finance & Investment,Information\Local & Regional ,Information\Education,Information\Companies & Industries,Online Community\Homepages,1,False,6,6.0,1,0,0,5,"['Living\\Finance & Investment', 'Information\\Local & Regional ', 'Information\\Education', 'Information\\Companies & Industries', 'Online Community\\Homepages']","['Information', 'Living', 'Online']",Online, 'Living',['Information',,"[False, False, True, True, True, False, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'TRUE', 'FALSE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
6,aberdeen police department,Information\Law & Politics,Information\Local & Regional ,,,,3,False,26,8.666666666666666,2,0,0,2,"['Information\\Law & Politics', 'Information\\Local & Regional ']",['Information'],Information,,,,"[False, False, True, False, False, False, False]","['FALSE', 'FALSE', 'TRUE', 'FALSE', 'FALSE', 'FALSE', 'FALSE']",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
7,accountancy jobs,Living\Finance & Investment,Living\Career & Jobs,Information\Companies & Industries,,,2,False,16,8.0,1,0,0,3,"['Living\\Finance & Investment', 'Living\\Career & Jobs', 'Information\\Companies & Industries']","['Information', 'Living']",Living,['Information',,,"[False, False, True, True, False, False, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'FALSE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
8,address for clallam county sheriff,Information\Law & Politics,Information\References & Libraries,,,,5,False,34,6.8,3,0,1,2,"['Information\\Law & Politics', 'Information\\References & Libraries']",['Information'],Information,,,,"[False, False, True, False, False, False, False]","['FALSE', 'FALSE', 'TRUE', 'FALSE', 'FALSE', 'FALSE', 'FALSE']",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
9,adelphia power page,Computers\Internet & Intranet,Computers\Networks & Telecommunication,Information\Companies & Industries,Shopping\Stores & Products,,3,False,19,6.333333333333332,2,0,0,4,"['Computers\\Internet & Intranet', 'Computers\\Networks & Telecommunication', 'Information\\Companies & Industries', 'Shopping\\Stores & Products']","['Computers', 'Information', 'Shopping']",Shopping, 'Information',['Computers',,"[True, False, True, False, False, True, False]","['TRUE', 'FALSE', 'TRUE', 'FALSE', 'FALSE', 'TRUE', 'FALSE']",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
10,adidas campus,Shopping\Stores & Products,Shopping\Buying Guides & Researching,Sports\Other,Living\Fashion & Apparel,,2,False,13,6.5,1,0,0,4,"['Shopping\\Stores & Products', 'Shopping\\Buying Guides & Researching', 'Sports\\Other', 'Living\\Fashion & Apparel']","['Living', 'Shopping', 'Sports']",Sports, 'Shopping',['Living',,"[False, False, False, True, False, True, True]","['FALSE', 'FALSE', 'FALSE', 'TRUE', 'FALSE', 'TRUE', 'TRUE']",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
11,aerial advertising,Information\Companies & Industries,Shopping\Buying Guides & Researching,Shopping\Other,,,2,False,18,9.0,1,0,0,3,"['Information\\Companies & Industries', 'Shopping\\Buying Guides & Researching', 'Shopping\\Other']","['Information', 'Shopping']",Shopping,['Information',,,"[False, False, True, False, False, True, False]","['FALSE', 'FALSE', 'TRUE', 'FALSE', 'FALSE', 'TRUE', 'FALSE']",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
12,Aerosols,Information\Science & Technology,Living\Health & Fitness,Living\Family & Kids,,,1,False,8,8.0,0,0,0,3,"['Information\\Science & Technology', 'Living\\Health & Fitness', 'Living\\Family & Kids']","['Information', 'Living']",Living,['Information',,,"[False, False, True, True, False, False, False]","['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'FALSE', 'FALSE']",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
13,affiliateprograms,Information\Companies & Industries,Computers\Internet & Intranet,Online Community\Homepages,Information\References & Libraries,Shopping\Buying Guides & Researching,1,False,17,17.0,0,0,0,5,"['Information\\Companies & Industries', 'Computers\\Internet & Intranet', 'Online Community\\Homepages', 'Information\\References & Libraries', 'Shopping\\Buying Guides & Researching']","['Computers', 'Information', 'Online', 'Shopping']",Shopping, 'Online', 'Information',['Computers',"[True, False, True, False, True, True, False]","['TRUE', 'FALSE', 'TRUE', 'FALSE', 'TRUE', 'TRUE', 'FALSE']",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
